CustomerID,Recency,Frequency,Monetary,Quantity_total,UnitPrice_avg,TotalAmount_total,Total_transaction_total,InvoiceYearMonth_num,R_Score,F_Score,M_Score,RFM_Score,RFM_Segment,Cluster
12346.0,326,1,28.080000000000002,27.0,1.04,28.080000000000002,28.080000000000002,201101,1,1,1,3,Hibernating,2
12347.0,2,182,3877.44,2167.0,2.498131868131868,3877.44,3877.44,201112,5,5,5,15,Champions,0
12348.0,75,31,557.57,716.0,1.5712903225806452,557.57,557.57,201109,2,3,3,8,At Risk,2
12349.0,19,73,1336.65,613.0,3.441780821917808,1336.65,1336.65,201111,4,4,4,12,Loyal Customers,2
12350.0,310,17,301.9,197.0,1.9294117647058822,301.9,301.9,201102,1,2,2,5,Hibernating,2
12352.0,36,83,1385.94,534.0,4.021204819277108,1385.94,1385.94,201111,3,4,4,11,Loyal Customers,2
12353.0,204,4,74.30000000000001,20.0,4.85,74.30000000000001,74.30000000000001,201105,1,1,1,3,Hibernating,2
12354.0,232,58,992.35,510.0,3.6339655172413794,992.35,992.35,201104,1,4,4,9,At Risk,2
12355.0,214,13,316.5,138.0,3.6115384615384616,316.5,316.5,201105,1,1,2,4,Hibernating,2
12356.0,23,59,2083.4900000000002,1082.0,2.577627118644068,2083.4900000000002,2083.4900000000002,201111,4,4,5,13,Loyal Customers,0
12357.0,33,131,5161.7,2234.0,2.929541984732824,5161.7,5161.7,201111,4,5,5,14,Loyal Customers,0
12358.0,2,19,963.75,239.0,4.700526315789474,963.75,963.75,201112,5,2,4,11,,2
12359.0,58,245,4549.08,1609.0,4.383510204081633,4549.08,4549.08,201110,3,5,5,13,Loyal Customers,0
12360.0,52,129,2168.21,1156.0,2.4593798449612403,2168.21,2168.21,201110,3,5,5,13,Loyal Customers,0
12361.0,287,10,182.4,91.0,2.585,182.4,182.4,201102,1,1,1,3,Hibernating,2
12362.0,3,266,4788.28,2201.0,3.2322932330827068,4788.28,4788.28,201112,5,5,5,15,Champions,0
12363.0,110,23,544.35,399.0,2.2530434782608695,544.35,544.35,201108,2,2,3,7,,2
12364.0,8,85,1194.84,1344.0,1.5167058823529411,1194.84,1194.84,201112,5,4,4,13,Champions,0
12365.0,291,22,322.94,174.0,2.6759090909090912,322.94,322.94,201102,1,2,2,5,Hibernating,2
12367.0,4,11,151.47,140.0,2.2454545454545456,151.47,151.47,201112,5,1,1,7,New Customers,2
12370.0,51,166,3076.68,1628.0,2.560542168674699,3076.68,3076.68,201110,3,5,5,13,Loyal Customers,0
12371.0,45,63,1546.76,579.0,3.252063492063492,1546.76,1546.76,201110,3,4,4,11,Loyal Customers,2
12372.0,72,52,1191.99,767.0,2.4359615384615383,1191.99,1191.99,201109,3,3,4,10,Regular Customers,2
12373.0,311,14,329.55,194.0,2.2607142857142857,329.55,329.55,201102,1,1,2,4,Hibernating,2
12374.0,25,33,614.23,342.0,2.7757575757575754,614.23,614.23,201111,4,3,3,10,Potential Loyalist,2
12375.0,11,17,384.46000000000004,175.0,3.0629411764705883,384.46000000000004,384.46000000000004,201111,5,2,2,9,Potential Loyalist,2
12377.0,315,77,1547.52,944.0,2.259090909090909,1547.52,1547.52,201101,1,4,4,9,At Risk,2
12378.0,130,219,3795.76,2205.0,2.7047488584474886,3795.76,3795.76,201108,2,5,5,12,Can't Lose Them,0
12379.0,82,40,796.89,386.0,2.49125,796.89,796.89,201109,2,3,4,9,At Risk,2
12380.0,22,104,2259.8,1046.0,2.8147115384615384,2259.8,2259.8,201111,4,4,5,13,Loyal Customers,0
12381.0,5,87,1496.01,799.0,3.2136781609195397,1496.01,1496.01,201112,5,4,4,13,Champions,2
12383.0,185,99,1586.42,1261.0,2.40010101010101,1586.42,1586.42,201106,1,4,4,9,At Risk,0
12384.0,29,27,428.82,126.0,4.884814814814815,428.82,428.82,201111,4,2,3,9,Potential Loyalist,2
12386.0,338,10,282.12,175.0,2.391,282.12,282.12,201101,1,1,2,4,Hibernating,2
12388.0,16,100,2641.3,1262.0,2.7412,2641.3,2641.3,201111,4,4,5,13,Loyal Customers,0
12390.0,80,32,492.79,344.0,3.0187500000000003,492.79,492.79,201109,2,3,3,8,At Risk,2
12391.0,22,93,427.55,292.0,2.2888172043010755,427.55,427.55,201111,4,4,3,11,,2
12393.0,72,64,1495.9,780.0,2.2796875,1495.9,1495.9,201109,3,4,4,11,Loyal Customers,2
12394.0,64,27,690.31,326.0,2.6133333333333333,690.31,690.31,201110,3,2,3,8,Regular Customers,2
12395.0,19,156,2394.41,1558.0,2.861474358974359,2394.41,2394.41,201111,4,5,5,14,Loyal Customers,0
12397.0,36,126,2138.09,1245.0,2.842460317460317,2138.09,2138.09,201111,3,5,5,13,Loyal Customers,0
12398.0,46,85,1460.83,1376.0,1.6050588235294119,1460.83,1460.83,201110,3,4,4,11,Loyal Customers,0
12399.0,119,59,932.7,947.0,1.6061016949152542,932.7,932.7,201108,2,4,4,10,At Risk,2
12401.0,303,5,62.85,11.0,6.44,62.85,62.85,201102,1,1,1,3,Hibernating,2
12402.0,323,11,210.6,94.0,2.609090909090909,210.6,210.6,201101,1,1,2,4,Hibernating,2
12403.0,50,5,332.0,78.0,4.98,332.0,332.0,201110,3,1,2,6,About To Sleep,2
12405.0,149,54,1384.8000000000002,710.0,2.8887037037037038,1384.8000000000002,1384.8000000000002,201107,2,3,4,9,At Risk,2
12406.0,22,105,3162.66,1688.0,2.2741904761904763,3162.66,3162.66,201111,4,4,5,13,Loyal Customers,0
12407.0,50,77,1395.57,1038.0,2.5693506493506493,1395.57,1395.57,201110,3,4,4,11,Loyal Customers,0
12408.0,33,105,2410.13,1251.0,2.520095238095238,2410.13,2410.13,201111,4,4,5,13,Loyal Customers,0
12409.0,79,109,6422.46,2504.0,3.0988073394495412,6422.46,6422.46,201109,2,4,5,11,,0
12410.0,309,26,529.23,211.0,4.541153846153846,529.23,529.23,201102,1,2,3,6,,2
12412.0,75,61,1168.2,787.0,2.24655737704918,1168.2,1168.2,201109,2,4,4,10,At Risk,2
12413.0,67,38,680.2,286.0,3.5207894736842102,680.2,680.2,201110,3,3,3,9,Needs Attention,2
